City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Ola,RU,59.5833,151.2833,23.52,79,100,6.51,overcast clouds
124,Guerrero Negro,MX,27.9769,-114.0611,75.76,38,0,2.57,clear sky
125,Boyolangu,ID,-8.1181,111.8935,76.06,89,100,0.89,overcast clouds
126,Provideniya,RU,64.3833,-173.3,15.26,77,100,9.24,overcast clouds
127,Buraydah,SA,26.326,43.975,80.92,12,96,11.63,overcast clouds
128,Spearfish,US,44.4908,-103.8594,57.88,41,1,5.99,clear sky
129,Uribia,CO,11.7139,-72.266,90.95,52,83,15.23,broken clouds
130,Deputatskiy,RU,69.3,139.9,2.98,96,100,2.21,overcast clouds
131,Moyale,KE,3.5167,39.0584,73.92,56,73,8.48,broken clouds
132,Victoria,HK,22.2855,114.1577,78.85,84,88,5.01,light rain
133,Naze,JP,28.3667,129.4833,66.87,62,20,13.31,few clouds
134,Langfang,CN,39.5097,116.6947,43.05,46,100,3.51,overcast clouds
135,Saint-Gilles,FR,43.6766,4.4302,59.95,72,0,4.61,clear sky
136,Vaini,TO,-21.2,-175.2,75.36,83,40,9.22,scattered clouds
137,Zerind,RO,46.6167,21.5167,41.56,47,18,4.63,few clouds
138,New Norfolk,AU,-42.7826,147.0587,58.91,54,94,3.18,overcast clouds
139,Albany,US,42.6001,-73.9662,59.81,70,96,11.25,overcast clouds
140,Codrington,AU,-38.2667,141.9667,54.36,95,38,6.22,light rain
141,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,0.0,overcast clouds
142,Muromtsevo,RU,56.3724,75.2418,30.36,73,92,6.51,overcast clouds
143,Lulea,SE,65.5842,22.1547,32.07,100,75,4.61,light snow
144,Langenburg,DE,49.2544,9.8458,50.31,90,0,8.05,clear sky
145,Severo-Kurilsk,RU,50.6789,156.125,42.71,92,100,5.41,overcast clouds
146,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,22,0,33.38,clear sky
147,Luchegorsk,RU,46.4764,134.2569,39.88,89,100,5.12,overcast clouds
148,Luganville,VU,-15.5333,167.1667,78.48,85,100,5.17,overcast clouds
149,Touros,BR,-5.1989,-35.4608,86.9,61,30,17.96,scattered clouds
150,Santa Cruz,BO,-17.8,-63.1667,94.75,20,41,7.47,scattered clouds
151,Marsh Harbour,BS,26.5412,-77.0636,81.09,66,34,15.66,scattered clouds
152,Souillac,MU,-20.5167,57.5167,72.36,78,20,5.75,few clouds
153,Saldanha,ZA,-33.0117,17.9442,60.1,95,99,15.26,overcast clouds
154,Hailar,CN,49.2,119.7,33.58,58,8,7.0,clear sky
155,Seljord,NO,59.4894,8.634,52.59,83,72,2.71,broken clouds
156,Lasa,IT,46.6166,10.7002,43.36,67,2,2.21,clear sky
157,Lagoa,PT,39.05,-27.9833,67.21,69,100,20.74,overcast clouds
158,Port Hardy,CA,50.6996,-127.4199,49.32,79,93,4.97,overcast clouds
159,Catamarca,AR,-28.4696,-65.7852,96.78,16,49,8.99,scattered clouds
160,Numaligarh,IN,26.6333,93.75,69.64,91,0,0.2,clear sky
161,Thompson,CA,55.7435,-97.8558,41.14,94,100,6.6,overcast clouds
162,Inirida,CO,3.8653,-67.9239,81.54,83,82,2.04,light rain
163,Gambela,ET,8.25,34.5833,75.34,72,27,4.76,scattered clouds
164,Cabo San Lucas,MX,22.8909,-109.9124,85.17,61,1,4.61,clear sky
