City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Cauquenes,CL,80.49,clear sky,-35.9671,-72.3225,Viña Don Heraldo
440,Maningrida,AU,80.35,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
448,Port Blair,IN,81.09,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
449,Lazaro Cardenas,MX,84.25,overcast clouds,17.9583,-102.2,quinta antigua
459,Kismayo,SO,79.38,clear sky,-0.3582,42.5454,Agan-Hotel
460,Kingsland,US,81.03,broken clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
462,Morondava,MG,77.22,clear sky,-20.2833,44.2833,La Case Bambou
467,Takoradi,GH,79.47,broken clouds,4.8845,-1.7554,Raybow International Hotel
472,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
473,Zaraza,VE,76.37,heavy intensity rain,9.3503,-65.3245,Hotel Zaraza
484,Malakal,SS,77.45,light rain,9.5334,31.6605,Nile Palace Hotel
492,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
512,Coronado,US,84.49,clear sky,32.6859,-117.1831,El Cordova Hotel
514,Bull Savanna,JM,84.15,overcast clouds,17.8868,-77.5902,Big Red's
523,Jequitinhonha,BR,82.36,overcast clouds,-16.4339,-41.0033,Hotel Bela Vista
527,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
529,Bandar-E Lengeh,IR,82.4,clear sky,26.5579,54.8807,کافی نت پارس
537,Toumodi,CI,75.85,moderate rain,6.5613,-5.0158,Hotel Akanza
539,Bonthe,SL,81.43,broken clouds,7.5264,-12.505,Bonthe Holiday Village
540,Ibra,OM,75.2,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
541,Sakakah,SA,77.31,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
544,Polewali,ID,77.11,broken clouds,-3.4324,119.3435,Lilianto Hotel
545,Mandiana,GN,84.36,scattered clouds,10.6333,-8.6833,Motels rouzo
552,Alugan,PH,80.38,overcast clouds,12.2188,125.4808,JM Lodge
553,Jalu,LY,75.09,broken clouds,29.0331,21.5482,صاحبة الفخامة
554,Barranca De Upia,CO,78.51,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
555,Yarada,IN,81.07,clear sky,17.65,83.2667,Vishranti
557,Soyo,AO,76.26,overcast clouds,-6.1349,12.3689,Hotel Mpampa
562,Ipixuna,BR,80.55,broken clouds,-1.7625,-48.8043,Casa da Oscarina
566,Ko Samui,TH,82.78,scattered clouds,9.5357,99.9357,The Passage
567,Chabahar,IR,78.28,clear sky,25.2919,60.643,هتل گدروشیا
570,Pyapon,MM,76.91,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
571,Jamame,SO,78.53,clear sky,0.0722,42.7506,
574,Hirara,JP,75.42,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
576,Rosarito,MX,81.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
577,Masuguru,TZ,84.13,broken clouds,-11.3667,38.4167,
578,Mumford,GH,79.63,scattered clouds,5.2618,-0.759,Spanish Villa
579,Lokoja,NG,80.2,light rain,7.8024,6.743,Hotel Charvid
581,Bosaso,SO,80.28,clear sky,11.2842,49.1816,Red Sea Hotel
582,Zambezi,ZM,77.97,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
585,Miri,MY,77.99,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
587,Ixtapa,MX,83.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
588,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
589,Mecca,SA,83.01,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
595,Paka,MY,78.22,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
597,Santa Rosa,PH,80.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
602,Omboue,GA,76.41,overcast clouds,-1.5746,9.2618,Hotel Olako
604,Santarem,BR,82.53,broken clouds,-2.4431,-54.7083,Ecotur Lodge
608,Cockburn Town,TC,83.19,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
610,Nacala,MZ,76.66,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
622,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
624,Cacador,BR,78.35,overcast clouds,-26.7753,-51.015,Hotel Weber
626,Kanniyakumari,IN,79.12,overcast clouds,8.0833,77.5667,Sparsa
628,Paraiso,CR,76.42,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
629,Bowen,AU,76.35,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
632,Asyut,EG,82.35,clear sky,27.181,31.1837,Florence Hotel Assiut
637,Sharjah,AE,84.18,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
641,Atambua,ID,75.99,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
646,Tabou,CI,78.53,overcast clouds,4.423,-7.3528,hotêl doufoulougou
647,Borazjan,IR,76.42,overcast clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
648,Kirakira,SB,80.02,broken clouds,-10.4544,161.9205,SanBiz Lodge
650,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
